Topic,Count,Name,Representation,Representative_Docs
-1,55,-1_conversations_provide_proud_speak,"['conversations', 'provide', 'proud', 'speak', 'public', 'professionals', 'supporting', 'week', 'department', 'issues']","['October is Emotional Wellness Month! 💙 Your mental health matters, and Maryland Health Connection offers plans that cover essential mental health services like therapy, counseling, and more. Take care of your mind and body—enroll today for the support you deserve!', 'As Mental Health Awareness Month wraps up, LAFC reminds everyone that mental health matters every day. Thank you to our partners at the Los Angeles County Department of Mental Health for encouraging all of us to reach out and seek help when we need it.\n\nWellness, connection and\nyou or someone you know needs mental health support or resources, visit\ndmh.lacounty.gov\n.', 'World Mental Health Day was observed on October 10, 2024. On this day, the Union Health Ministry celebrated the success of the National Tele Mental Health Programme, Tele MANAS, which has completed two years and handled over 1.45 million calls. The Tele MANAS toll-free helpline,\n-800-891-4416, offers multilingual support in 20 languages and has been instrumental in connecting individuals with mental health professionals.\n\nAt the commemoration event in New Delhi, Smt. Aradhana Patnaik, Additional Secretary of MoHFW and Managing Director of the National Health Mission (NHM, launched the Tele MANAS mobile app and video call facility.\n\nIIIT-Bangalore is proud of its role in developing the Tele MANAS mobile app, which offers free and confidential 24/7 mental health support across India. Developed in-house with guidance from the Tele MANAS Apex Centre at NIMHANS, the app is available on the Google Play Store, with an iOS version coming soon. It includes features such as 24/7 support, an extensive knowledge base, and a user-friendly interface.\n\nVideo consultations represent a significant upgrade to the existing audio service, allowing mental health professionals to provide a more personalized experience. This service will initially launch in Karnataka, Jammu & Kashmir, and Tamil Nadu, with plans for nationwide expansion.\n#IIITB\n#IIITBangalore\n#WorldMentalHealthDay\n#MentalHealthAwareness\n#TeleMANAS\n#TeleHealth']"
0,17,0_matter_school_schools_action,"['matter', 'school', 'schools', 'action', 'events', 'black', 'students', 'awareness', 'communities', 'children']","['May is Mental Health Awareness Month and\n@\nlacdmh\ninvites you to attend its FREE Take Action for Mental Health L.A. County events near you! Learn about resources available in your community & enjoy free wellness activities, food, art & music.\n\nLearn more ➡️\nTakeActionLA.com', ""May is Mental Health Awareness Month! Let's Take Action for mental health together.💚 All month long, we're hosting FREE Take Action events near you! Join us to learn about the mental health resources available in your community and participate in free wellness activities, food,\ne information and to find events near you, visit\nTakeActionLA.com\n🔗"", 'May is Mental Health Awareness Month: a time to pause, reflect, and remember that mental well-being matters every day, in every space. \n\nIt’s also a time to break stigma, share resources, and reaffirm that conditions like anxiety, depression, and trauma deserve understanding,\nsilence.\n\nAt the Trevor Noah Foundation, we believe this is especially true in our schools. Learning can only truly happen when learners and teachers feel safe, supported, and emotionally grounded.\n\nThrough our partnership with @MyOnlineTherapist, our Khulani Schools Programme provides access to trained Care Agents who walk alongside learners and teachers through the everyday realities of school life, offering consistent, compassionate psychosocial support when it’s needed most.\n\nBecause mental health is not a moment, it is a commitment we carry throughout.\n#MentalHealthAwarenessMonth\n#MentalHealthMatters\n#MOT\n#KSP']"
1,15,1_journey_mham2026_person_create,"['journey', 'mham2026', 'person', 'create', '25', 'samhsa', 'behavioral', 'community', 'share', 'confidential']","['📣 The 2026 Mental Health Awareness Month Toolkit has arrived!\n\nSupport your community this May with ready-made content, messaging, and graphics—all centered on See the Person. Support the Journey. Download today ➡️\nsamhsa.gov/about/digital-…\n#MHAM2026', '📣 It’s here! The 2026 Mental Health Awareness Month Toolkit is live.\nEverything you need to raise awareness this May—from social posts to graphics—is ready to go. Join us to See the Person. Support the Journey. ➡️\nsamhsa.gov/about/digital-…\n#MHAM2026', '📣 The 2026 Mental Health Awareness Month Toolkit is here! This May, join us to See the Person. Support the Journey. Find social media content, key messages, graphics, and more—everything you need to support mental health in your community ➡️\nsamhsa.gov/about/digital-…\n#MHAM2026']"
2,15,2_guide_samhsa_county_symptoms,"['guide', 'samhsa', 'county', 'symptoms', 'use', 'mentalhealthmonth', 'disorder', 'tools', 'treatment', 'know']","['💚 Fulton County offers free and low-cost mental health services for residents across central, north and south Fulton, including therapy, counseling, crisis support, peer services, and more.\n\nMental wellness matters for everyone.\n#MentalHealthMonth\nfultoncountyga.gov/mentalhealth', 'Healing from mental health and substance use issues is not just the absence of symptoms. It is a stable home, meaningful connection, and the tools to move forward. That is the promise of whole-person care.\nsamhsa.gov/find-support\n#MHAM2026\n#SeeThePerson\n#WholePersonCare', 'If you or someone you know has a mental health condition, like antisocial personality disorder, use these resources to learn more about the signs & symptoms, and to find treatment and support for yourself, a friend, or a family member ➡️\nsamhsa.gov/mental-health/…']"
3,12,3_nyc_yorkers_new_real,"['nyc', 'yorkers', 'new', 'real', 'state', 'access', 'live', 'chat', 'substance', 'use']","['Calling New Yorkers who have received, or are currently receiving, mental health services: Join our Consumer Advisory Board! The board advises the Health Department on ways to improve the adult mental health system and eliminate stigma. \n\nApply here:\non.nyc.gov/3Ffy05v', 'Know your rights, understand your options, and get help accessing mental health and substance use disorder care in New York State. \n\nReal care means real access to behavioral health services.\n\nLearn more today:\nny.gov/realcare', 'Tomorrow at 10AM: \n \nThe Committee on Mental Health and Substance Use will hold an oversight hearing on how NYC connects New Yorkers to mental health services and review related legislation. \n \n📺 Watch live:\ncouncil.nyc.gov/livestream']"
4,12,4_research_country_local_including,"['research', 'country', 'local', 'including', 'read', 'condition', 'act', 'communities', 'bit', 'calling']","[""We've produced a mental health ROI tool. It's based on evidence, can be adapted to local conditions and shows the economic benefits of each intervention. Read more:\nbit.ly/2OmGfkG\nAnd find the suite of ROI tools:\nbit.ly/2vIRF7y\n#PublicHealthMatters"", 'Everyone deserves access to mental health care. Black adults and youth can face additional systemic barriers to the care they need, including lack of local, culturally competent treatment options. If you need help, you don’t have to carry things alone.', 'This week, the Weather Events and Mental Health in Africa (WEMA) Project is hosting a Consortium Meeting in Naivasha, Kenya. Partners from the African Population and Health Research Center (\n@\naphrc\n), Africa Health Research Institute (AHRI), South Africa, Centre de Recherche en\nBurkina Faso, and Comite para a Saude, Mozambique will review progress on research into the mental health impacts of floods, droughts, and heatwaves.\n\nAs climate extremes intensify, understanding their impact on mental health becomes increasingly urgent. Prof. Collins Iwuji (WEMA PI, AHRI) emphasized the importance of Africa-led collaboration, interdisciplinary research, and translating evidence into action through engagement with communities and policymakers.\n\nAPHRC’s\n@\nagnes_kiragga\nhighlighted ongoing work in Climate and Mental Health Research at the Center and the urgent need to address the intersection of climate change and mental health in Africa.\n@\nWekesah\npresented findings from the completed systematic review, which noted strong links between extreme weather events and mental health outcomes, including anxiety, depression, and post traumatic stress disorder (PTSD), particularly among vulnerable groups.\n\nCountry teams presented their latest findings, sharing progress and emerging evidence from research conducted in their study sites.\n#WEMAProject\n#ClimateAndHealth\n#MentalHealth\n#GlobalHealth\n#EvidenceToPolicy\n@\namveyange\n@\nCKyobutungi\n@\nDMdiarafa\n@\nRatemoJuliet\n@\nwilliamsila\n@\nMangwanaVJ\n@\ndeborahndlovu\n@\nndonyesarah\n@\nDorcasOdhiambo\n@\nChris_Maero\n@\ndia_diama\n@\nChristineGer22\n@\nMangwanaVJ\n@\nHope_shete\n@\nMuliDavis\n@\nDKadengye']"
5,11,5_women_seek_problems_tips,"['women', 'seek', 'problems', 'tips', 'challenges', 'face', 'bit', 'matters', 'vital', 'understand']","['WHO says 1 in 4 people will be affected by mental health problems in their lives. But men are less likely to discuss or seek help for their mental health problems. \nJoin our peer support group on Tuesday & Wednesday for\n#MentalHealthSupport\n#mentalhealthmatters\n#mshLiverpool', 'Mental health matters just as much as physical health — but men are far less likely to seek treatment. Don’t let stigma keep you from reaching out. If you need support now, call or text 988 for judgment‑free help, 24/7. You’re not alone.', ""Women's mental health naturally evolves over time and is a vital part of overall well-being. Many women face challenges such as depression, anxiety, and post-traumatic stress disorder (PTSD). It's important to recognize these struggles and understand that support is available. Women don't have to face these challenges alone.""]"
6,11,6_self_explore_barriers_online,"['self', 'explore', 'barriers', 'online', 'improve', 'tools', 'reach', 'conditions', 'different', 'judgment']","['May is Mental Health Awareness Month, and VA has online resources available to Veterans looking to strengthen their mental health.\nVeteranTraining.va.gov\noffers a variety of self-help courses on mental health topics.\n\nYour mental health matters. Visit\nVeteranTraining.va.gov\nto\ntoday.\n\nIf you’re a Veteran in crisis or concerned about one, dial 988 and press 1, or text 838255 to reach the Veteran Crisis Line.', 'For some Veterans, opening up about mental health can feel scary. Concerns about stigma or judgment can make it hard to reach out.\nThis Mental Health Month, hear how others overcame these barriers and gave therapy a chance.\nmaketheconnection.net/mental-health-…\n...', ""MONDAY MENTAL HEALTH MOTIVATION!  Exercise is good for your physical fitness, but it also is an important tool for your mental fitness. Our Soldiers improve their heart rates and their mental wellness by participating in events such as MDW's Best Squad Competition (pictured),\neek at Fort A.P. Hill, Virginia, as well as at Infantry Week, which was held last month at Fort Benning, Georgia.\n\nThe month of May is Mental Health Awareness Month, which has been observed in the U.S. since 1949. Through programs like ACE (Ask, Care, Escort),\n@\nArmyResilience\nencourages intervention when Soldiers feel someone they know is not doing well or their mental health is not as strong as usual.\n\nLearn more:\ndvidshub.net/r/7o477t\n(\n@\nUSArmy\nphotos by Cpl. Joseph Martin)\n#MentalHealthAwarenessMonth\n#MentalHealthMonth""]"
7,9,7_practice_moment_make_mind,"['practice', 'moment', 'make', 'mind', 'wellbeing', 'young', 'children', 'selfcare', 'reflect', 'sharing']","[""Mental health is important for everyone, but it's especially important for young people as they navigate the path to adulthood. Support your students by sharing\n@\nsamhsagov\n's mental health tips for kids & teens:\nmentalhealth.gov/talk/young-peo…\n#WellnessWednesday"", '#*HealthTipMonday : A Healthy mind, A healthier You*!\n\nYour mental health matters just as much as your physical health. Here are simple daily habits to help you stay grounded and emotionally balanced:\n\n💧 Stay hydrated\n🌿 Practice mindfulness\n🏃\u200d♀️ Move your body\n🍎 Nourish your\n🙏 Reflect with gratitude\n📵 Unplug before bedtime\n\nTake a moment today to care for your  mind!.\n#HealthTipMonday\n#NCDCNigeria\n#SelfCare', 'On World Mental Health Day – and everyday- it’s important to make your mental health a priority. But this doesn’t have to be complicated. Incorporating even one small action like calling a friend, taking a walk, playing with a pet, or taking a deep breath is enough to make a\nalHealthDay']"
8,8,8_reminds_watch_tips_way,"['reminds', 'watch', 'tips', 'way', 'understanding', 'building', 'taking', 'visit', 'conditions', 'mentalhealthawarenessmonth']","['Commissioner Ann Sullivan launched Mental Health Awareness Month today, encouraging New Yorkers to take moment to reflect on their mental wellness and to help break down the stigma of mental illness. Watch Now :\nyoutube.com/watch?v=hcM2G6…\n#MentalHealthAwarenessMonth', 'Mental Health Awareness Month reminds us that taking care of your mental health is just as important as your physical health.\n\nFor tips on supporting your mental health and building your wellness, your way, visit\nbewell.ny.gov', '#MentalHealthAwarenessMonth\nreminds us that taking care of your mental health is just as important as your physical health. For tips on supporting your mental health and building your wellness, your way, visit\nbewell.ny.gov']"
